Time,Lambda = 0.0 & Delta = 0.1,Lambda = 0.01 & Delta = 0.1,Lambda = 0.02 & Delta = 0.1,Lambda = 0.03 & Delta = 0.1,Lambda = 0.04 & Delta = 0.1,Lambda = 0.05 & Delta = 0.1,Lambda = 0.06 & Delta = 0.1,Lambda = 0.07 & Delta = 0.1,Lambda = 0.08 & Delta = 0.1,Lambda = 0.09 & Delta = 0.1,Lambda = 0.1 & Delta = 0.1
0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.041666666666666664,100.0,100.01249895823932,100.0249958325814,100.0374906224628,100.04998332732069,100.06247394659273,100.07496247971719,100.08744892613284,100.09993328527902,100.11241555659561,100.12489573952304
0.08333333333333333,100.0,100.0249958325814,100.04998332732069,100.07496247971719,100.09993328527902,100.12489573952304,100.14984983797498,100.17479557616934,100.19973294964936,100.22466195396711,100.24958258468352
0.125,100.0,100.0374906224628,100.07496247971719,100.11241555659561,100.14984983797501,100.18726530877683,100.22466195396711,100.26203975855643,100.29939870759974,100.33673878619666,100.37405997949129
0.16666666666666666,100.0,100.04998332732069,100.09993328527902,100.14984983797498,100.19973294964936,100.24958258468352,100.29939870759972,100.34918128306082,100.39893027587037,100.44864565097267,100.49832737345268
0.20833333333333331,100.0,100.06247394659275,100.12489573952305,100.18726530877683,100.24958258468354,100.31184749791616,100.37405997949129,100.43621996076898,100.4983273734527,100.56038214958944,100.62238422156956
0.24999999999999997,100.0,100.07171765976226,100.14335204653376,100.21490304990472,100.28637056024566,100.35775446870674,100.42905466721786,100.50027104848793,100.57140350600473,100.64245193403447,100.71341622762132
0.29166666666666663,100.0,100.07735345453052,100.1545783374714,100.23167451547603,100.30864185680915,100.38548023134464,100.46218951056379,100.5387695675528,100.61522027700094,100.69154151519832,100.7677331600336
0.3333333333333333,100.0,100.08298753596763,100.16579779118511,100.24843063381219,100.33088593483849,100.41316356807687,100.4952634101573,100.57718534051997,100.65892924140894,100.74049499786531,100.8218824977205
0.375,100.0,100.08861990436591,100.17701041002708,100.26517141289678,100.35310281336236,100.44080451627013,100.5282764309105,100.61551847100233,100.702530554678,100.78931260446767,100.87586454728368
0.4166666666666667,100.0,100.09425056001781,100.18821619635139,100.28189686072261,100.37529251143839,100.46840311336055,100.56122863787651,100.65376906286896,100.74602437268587,100.83799455811005,100.92967961632861
0.45833333333333337,100.0,100.09987950321594,100.19941515251394,100.29860698529193,100.39745504815302,100.4959593968531,100.59412009624846,100.69193722024274,100.78941085173398,100.8865410825612,100.98332801345072
0.5,100.0,100.10550673425297,100.2106072808726,100.31530179461612,100.41959044262136,100.52347340432125,100.62695087135828,100.73002304749804,100.83269014854305,100.93495240224576,101.03681004822147
0.5416666666666666,100.0,100.1111322534217,100.221792583787,100.33198129671587,100.44169871398702,100.55094517340648,100.65972102867559,100.76802664925829,100.87586242024834,100.9832287422361,101.09012603117466
0.5833333333333333,100.0,100.11675606101507,100.23297106361873,100.34864549962101,100.46377988142197,100.57837474181778,100.69243063380667,100.80594813039359,100.91892782439515,101.03137032824405,101.14327627379268
0.6249999999999999,100.0,100.12237815732614,100.24414272273118,100.36529441137061,100.48583396412639,100.60576214733133,100.72507975249333,100.84378759601844,100.96188651893429,101.07937738661288,101.19626108849286
0.6666666666666665,100.0,100.12799854264809,100.25530756348957,100.38192804001278,100.50786098132855,100.63310742778994,100.75766845061177,100.88154515148933,101.00473866221746,101.1272501443091,101.2490807886138
0.7083333333333331,100.0,100.13361721727418,100.266465588261,100.39854639360478,100.52986095228464,100.66041062110263,100.79019679417154,100.91922090240244,101.0474844129928,101.17498882891446,101.30173568840193
0.7499999999999998,100.0,100.13923418149786,100.2776167994144,100.41514948021286,100.55183389627864,100.68767176524426,100.82266484931446,100.95681495459124,101.09012393040034,101.22259366861788,101.35422610299798
0.7916666666666664,100.0,100.1448494356126,100.28876119932058,100.43173730791236,100.57377983262212,100.714890898255,100.85507268231346,100.99432741412423,101.13265737396753,101.27006489220739,101.4065523484236
0.833333333333333,100.0,100.15046297991208,100.29989879035206,100.44830988478755,100.59569878065416,100.74206805823995,100.88742035957156,101.03175838730257,101.1750849036048,101.31740272906225,101.45871474156797
0.8749999999999997,100.0,100.15607481469004,100.31102957488332,100.46486721893166,100.61759075974119,100.76920328336861,100.91970794762078,101.06910798065782,101.21740667960103,101.364607409145,101.51071360017457
0.9166666666666663,100.0,100.1616849402404,100.32215355529063,100.48140931844686,100.63945578927682,100.79629661187458,100.95193551312103,101.10637630094958,101.25962286261914,101.41167916299347,101.56254924282784
0.9583333333333329,100.0,100.16729335685713,100.333270733952,100.49793619144418,100.66129388868171,100.82334808205503,100.98410312285907,101.14356345516322,101.30173361369167,101.45861822171297,101.61422198894023
0.9999999999999996,100.0,100.17290006483434,100.34438111324738,100.5144478460435,100.68310507740343,100.85035773227028,101.01621084374742,101.1806695505076,101.34373909421639,101.50542481696846,101.66573215873886
1.0416666666666663,100.0,100.17850506446626,100.3554846955584,100.53094429037351,100.70488937491629,100.87732560094335,101.04825874282325,101.21769469441277,101.38563946595187,101.55209918097671,101.71708007325267
1.083333333333333,100.0,100.18410835604725,100.3665814832686,100.54742553257167,100.72664680072126,100.90425172655954,101.0802468872474,101.25463899452767,101.42743489101314,101.59864154649853,101.76826605429936
1.1249999999999998,100.0,100.18970993987176,100.37767147876326,100.56389158078416,100.74837737434572,100.93113614766601,101.11217534430322,101.29150255871792,101.46912553186726,101.64505214683108,101.81929042447251
1.1666666666666665,100.0,100.1953098162344,100.38875468442944,100.58034244316589,100.77008111534343,100.95797890287135,101.14404418139561,101.3282854950635,101.5107115513291,101.69133121580008,101.8701535071287
1.2083333333333333,100.0,100.20090798542984,100.39983110265607,100.59677812788046,100.79175804329431,100.98478003084507,101.17585346604986,101.36498791185652,101.55219311255686,101.73747898775218,101.92085562637483
1.25,100.0,100.20248798991092,100.40283702083737,100.60105730312561,100.79715927692783,100.99115360474957,101.18305116406003,101.37286303996623,101.5606005179562,101.74627507671178,101.92989838099551
1.2916666666666667,100.0,100.20406738599175,100.40584061490203,100.60533149613121,100.80255209347169,100.99751471626385,101.19023191063455,101.38071645082047,101.56898133058154,101.75503975470602,101.93890513061208
1.3333333333333335,100.0,100.20564617388666,100.4088418865028,100.60960071226,100.80793650511336,101.00386338814015,101.19739574322632,101.38854820086382,101.57733563006427,101.7637731283914,101.94787601211817
1.3750000000000002,100.0,100.20722435380995,100.41184083729138,100.61386495687006,100.81331252402569,101.01019964309565,101.20454269921744,101.39635834641369,101.58566349582634,101.77247530410257,101.9568111619395
1.416666666666667,100.0,100.20880192597573,100.41483746891859,100.61812423531474,100.81868016236689,101.01652350381262,101.21167281591936,101.40414694366052,101.59396500708074,101.78114638785294,101.96571071603499
1.4583333333333337,100.0,100.21037889059822,100.41783178303432,100.62237855294266,100.82403943228051,101.02283499293834,101.21878613057285,101.41191404866788,101.60224024283181,101.7897864853354,101.97457480989806
1.5000000000000004,100.0,100.21195524789148,100.42082378128745,100.62662791509777,100.82939034589549,101.02913413308511,101.22588268034819,101.4196597173727,101.61048928187553,101.798395701923,101.98340357855766
1.5416666666666672,100.0,100.2135309980695,100.42381346532599,100.6308723271193,100.83473291532614,101.03542094683038,101.23296250234516,101.42738400558542,101.61871220279998,101.8069741426696,101.9921971565795
1.583333333333334,100.0,100.21510614134628,100.42680083679697,100.63511179434174,100.84006715267222,101.0416954567167,101.24002563359319,101.43508696899022,101.62690908398565,101.8155219123106,102.0009556780672
1.6250000000000007,100.0,100.21668067793571,100.42978589734648,100.63934632209491,100.8453930700188,101.04795768525176,101.24707211105132,101.44276866314507,101.63508000360578,101.82403911526352,102.00967927666352
1.6666666666666674,100.0,100.21825460805162,100.43276864861969,100.64357591570392,100.85071067943642,101.05420765490845,101.25410197160845,101.4504291434821,101.64322503962681,101.83252585562873,102.01836808555139
1.7083333333333341,100.0,100.21982793190783,100.43574909226078,100.64780058048916,100.85601999298096,101.06044538812483,101.2611152520832,101.45806846530756,101.65134426980866,101.84098223719018,102.02702223745526
1.7500000000000009,100.0,100.22140064971803,100.43872722991304,100.65202032176634,100.86132102269382,101.06667090730424,101.26811198922421,101.46568668380219,101.6594377717051,101.84940836341599,102.03564186464212
1.7916666666666676,100.0,100.2229727616959,100.44170306321881,100.65623514484646,100.86661378060174,101.07288423481523,101.27509221971003,101.47328385402126,101.66750562266415,101.85780433745917,102.04422709892276
1.8333333333333344,100.0,100.22454426805504,100.44467659381944,100.66044505503586,100.87189827871697,101.07908539299166,101.28205598014928,101.4808600308948,101.67554789982846,101.86617026215832,102.05277807165295
1.875000000000001,100.0,100.22611516900899,100.44764782335538,100.66465005763611,100.87717452903715,101.08527440413269,101.28900330708076,101.4884152692278,101.68356468013562,101.87450624003827,102.06129491373451
1.9166666666666679,100.0,100.22768546477127,100.45061675346616,100.66885015794416,100.88244254354538,101.09145129050283,101.29593423697348,101.49594962370035,101.69155604031855,101.88281237331081,102.06977775561661
1.9583333333333346,100.0,100.22925515555525,100.45358338579034,100.67304536125222,100.88770233421027,101.097616074332,101.30284880622669,101.50346314886784,101.6995220569059,101.89108876387535,102.07822672729687
2.0000000000000013,100.0,100.23082424157435,100.45654772196552,100.67723567284784,100.89295391298583,101.10376877781547,101.3097470511701,101.51095589916115,101.7074628062224,101.89933551331954,102.08664195832255
2.041666666666668,100.0,100.23239272304185,100.4595097636284,100.68142109801384,100.89819729181161,101.10990942311393,101.31662900806381,101.5184279288868,101.71537836438915,101.9075527229201,102.09502357779172
2.0833333333333344,100.0,100.23396060017103,100.4624695124147,100.68560164202842,100.9034324826126,101.11603803235359,101.32349471309847,101.52587929222713,101.72326880732413,101.91574049364336,102.10337171435448
2.125000000000001,100.0,100.23552787317504,100.46542696995924,100.68977731016498,100.90865949729931,101.12215462762607,101.33034420239531,101.53331004324053,101.73113421074247,101.92389892614604,102.11168649621409
2.1666666666666674,100.0,100.23709454226704,100.46838213789586,100.69394810769239,100.91387834776775,101.12825923098856,101.33717751200628,101.5407202358616,101.73897465015682,101.93202812077587,102.11996805112811
2.208333333333334,100.0,100.2386606076601,100.47133501785748,100.69811403987471,100.91908904589941,101.13435186446375,101.34399467791407,101.54810992390128,101.74679020087781,101.94012817757232,102.12821650640966
2.2500000000000004,100.0,100.23576035447348,100.46531469344102,100.68876101942193,100.90619785953187,101.11772414947274,101.32343912213675,101.52344220080465,101.7178328969127,101.90671071234748,102.09017504622238
2.291666666666667,100.0,100.23286147719311,100.45930010441288,100.67942141697598,100.8933314253241,101.1011364891408,101.30294319672915,101.49885824961788,101.68898835235635,101.87344010744258,102.05231991532139
2.3333333333333335,100.0,100.22996397509154,100.4532912446665,100.67009521096386,100.88048968987381,101.08458877477766,101.28250670636275,101.47435774836418,101.6602560691766,101.84031562926192,102.01465007427036
2.375,100.0,100.2270678474418,100.44728810810294,100.66078237985354,100.86767259991501,101.06808089804291,101.26212945646984,101.4499403765415,101.63163555196788,101.8073365485938,101.97716449058248
2.4166666666666665,100.0,100.22417309351738,100.4412906886309,100.6514829021538,100.85488010231767,101.05161275094466,101.24181125323989,101.4256058151142,101.6031263079343,101.77450214057838,101.93986213866351
2.458333333333333,100.0,100.22127971259219,100.43529898016672,100.64219675641421,100.84211214408725,101.03518422583821,101.22155190361599,101.4013537465049,101.57472784687279,101.741811684676,101.9027419997555
2.4999999999999996,100.0,100.21838770394065,100.42931297663435,100.63292392122496,100.82936867236434,101.01879521542465,101.20135121529125,101.37718385458633,101.5464396811565,101.70926446463567,101.865803061881
2.541666666666666,100.0,100.21549706683757,100.42333267196535,100.62366437521685,100.81664963442412,101.0024456127495,101.18120899670525,101.35309582467325,101.51826132571817,101.67685976846381,101.82904431978783
2.5833333333333326,100.0,100.21260780055823,100.4173580600989,100.6144180970611,100.80395497767606,100.98613531120142,101.16112505704051,101.32908934351438,101.49019229803382,101.64459688839338,101.79246477489441
2.624999999999999,100.0,100.20971990437836,100.41138913498175,100.60518506546936,100.79128464966347,100.96986420451081,101.14109920621898,101.30516409928451,101.46223211810636,101.61247512085315,101.75606343523563
2.6666666666666656,100.0,100.20683337757414,100.40542589056815,100.59596525919352,100.77863859806307,100.95363218674848,101.12113125489853,101.28131978157647,101.43438030844948,101.58049376643733,101.7198393154092
2.708333333333332,100.0,100.2039482194222,100.39946832082005,100.5867586570257,100.76601677068459,100.93743915232434,101.1012210144695,101.25755608139335,101.40663639407165,101.54865212987545,101.68379143652255
2.7499999999999987,100.0,100.20106442919962,100.39351641970683,100.57756523779808,100.75341911547035,100.92128499598613,101.08136829705123,101.23387269114065,101.37899990246012,101.51694952000244,101.64791882614036
2.791666666666665,100.0,100.19818200618393,100.38757018120546,100.5683849803829,100.74084558049485,100.90516961281796,101.06157291548861,101.21026930461852,101.3514703635652,101.48538524972905,101.61222051823233
2.8333333333333317,100.0,100.19530094965307,100.38162959930045,100.55921786369227,100.72829611396438,100.88909289823916,101.04183468334871,101.18674561701405,101.32404730978455,101.4539586360125,101.57669555312181
2.8749999999999982,100.0,100.1924212588855,100.37569466798378,100.55006386667814,100.71577066421659,100.87305474800289,101.02215341491736,101.1633013248936,101.29673027594764,101.42266899982738,101.5413429774346
2.9166666666666647,100.0,100.18954293316008,100.36976538125495,100.5409229683322,100.7032691797201,100.85705505819486,101.00252892519576,101.13993612619517,101.26951879930033,101.39151566613678,101.50616184404842
2.9583333333333313,100.0,100.18666597175611,100.36384173312098,100.53179514768577,100.69079160907407,100.84109372523201,100.98296102989717,101.1166497202209,101.24241241948955,101.36049796386372,101.47115121204291
2.999999999999998,100.0,100.18379037395334,100.35792371759634,100.52268038380974,100.67833790100786,100.82517064586132,100.96344954544348,101.09344180762955,101.21541067854811,101.32961522586277,101.43631014665
3.0416666666666643,100.0,100.180916139032,100.35201132870299,100.51357865581446,100.66590800438058,100.80928571715839,100.943994288962,101.07031209042893,101.18851312087962,101.29886678889197,101.40163771920473
3.083333333333331,100.0,100.17804326627274,100.34610456047034,100.50448994284963,100.65350186818065,100.79343883652628,100.92459507828211,101.04726027196867,101.1617192932435,101.26825199358495,101.36713300709673
3.1249999999999973,100.0,100.17517175495664,100.34020340693523,100.49541422410424,100.6411194415255,100.7776299016942,100.90525173193195,101.02428605693272,101.13502874474015,101.23777018442333,101.33279509372194
3.166666666666664,100.0,100.17230160436523,100.33430786214197,100.48635147880645,100.62876067366112,100.76185881071625,100.88596406913518,101.00138915133212,101.10844102679624,101.20742070970931,101.29862306843502
3.2083333333333304,100.0,100.16943281378053,100.32841792014226,100.47730168622358,100.61642551396164,100.74612546197018,100.8667319098078,100.97856926249766,101.08195569315001,101.17720292153851,101.26461602650195
3.249999999999997,100.0,100.16656538248496,100.32253357499523,100.46826482566189,100.604113911929,100.73042975415612,100.84755507455479,100.95582609907275,101.05557229983683,101.14711617577309,101.23077306905338
3.2916666666666634,100.0,100.15874500171775,100.30671848250556,100.44429782544817,100.57185427836184,100.68975256080329,100.79835051991353,100.89799883239596,100.98904074993614,101.07181188538992,101.14664003711077
3.33333333333333,100.0,100.15092909903869,100.29092154301765,100.42037217592858,100.53966899651203,100.64919276042541,100.74931663488402,100.84040590273055,100.9228177129095,100.99690087435675,101.062995690374
3.3749999999999964,100.0,100.14311767128045,100.27514273077028,100.3964877888243,100.50755785417516,100.60874993320675,100.70045268546903,100.78304613201429,100.85690141317215,100.92238059243111,100.97983650317259
3.416666666666663,100.0,100.1353107152785,100.25938202004872,100.37264457609642,100.47552063991786,100.56842366124333,100.65175794169168,100.72591834972874,100.7912900881574,100.84824851043886,100.89715898224316
3.4583333333333295,100.0,100.12750822787116,100.24363938518465,100.34884244994504,100.44355714307433,100.52821352853202,100.603231677568,100.66902139283899,100.72598198819766,100.77450212005722,100.814959666358
3.499999999999996,100.0,100.11971020589962,100.22791480055606,100.32508132280854,100.4116671537428,100.48811912095984,100.5548731710796,100.61235410573396,100.66097537640674,100.70113893360039,100.73323512595894
3.5416666666666625,100.0,100.1119166462079,100.21220824058716,100.30136110736272,100.37985046278212,100.44814002629313,100.50668170414683,100.55591534016732,100.59626852856329,100.62815648380784,100.65198196279599
3.583333333333329,100.0,100.10412754564283,100.19651967974823,100.27768171652004,100.34810686180832,100.40827583416703,100.45865656260173,100.49970395519894,100.53185973299577,100.5555523236353,100.57119680957116
3.6249999999999956,100.0,100.09634290105407,100.18084909255556,100.25404306342872,100.31643614319117,100.3685261360748,100.41079703616164,100.44371881713688,100.46774729046847,100.48332402604812,100.4908763295871
3.666666666666662,100.0,100.08856270929418,100.16519645357131,100.23044506147212,100.28483810005079,100.32889052535741,100.36310241840273,100.38795879948002,100.40392951406886,100.41146918381739,100.41101721640035
3.7083333333333286,100.0,100.08078696721849,100.14956173740346,100.2068876242678,100.25331252625426,100.289368597193,100.31557200673393,100.3324227828611,100.34040472909615,100.33998540931837,100.33161619347955
3.749999999999995,100.0,100.07301567168513,100.13394491870564,100.18337066566671,100.22185921641224,100.24995994858668,100.26820510237087,100.27710965499043,100.2771712729511,100.26887033433154,100.25267001386811
3.7916666666666616,100.0,100.06524881955511,100.11834597217708,100.15989409975258,100.19047796587566,100.2106641783601,100.22100101031029,100.22201831060006,100.2142274950269,100.19812160984593,100.17417545985157
3.833333333333328,100.0,100.05748640769222,100.1027648725625,100.13645784084093,100.15916857073235,100.17148088714134,100.1739590393044,100.16714765138853,100.15157175660147,100.12773690586494,100.0961293426294
3.8749999999999947,100.0,100.04972843296311,100.08720159465197,100.11306180347843,100.12793082780377,100.13240967735467,100.1270785018357,100.11249658596607,100.08920243073058,100.05771391121452,100.01852850199114
3.916666666666661,100.0,100.04197489223716,100.07165611328085,100.08970590244203,100.09676453464168,100.09345015321055,100.08035871409172,100.05806402980038,100.02711790214246,99.98805033335361,99.94136980599711
3.9583333333333277,100.0,100.03422578238661,100.05612840332967,100.0663900527383,100.06566948952488,100.05460192069559,100.0337989959402,100.00384890516291,99.96531656713337,99.91874389818692,99.8646501506632
