Lambda,Alpha,Delta,PSI,Dose,Size
0.07,0.0,0.012,0.9980000000000004,82.0,2.0
0.07,0.0,0.012,0.9990000000000003,82.0,2.0
0.07,0.0,0.013000000000000001,0.9650000000000003,82.0,2.0
0.07,0.0,0.013000000000000001,0.9660000000000002,82.0,2.0
0.07,0.0,0.013000000000000001,0.9670000000000003,82.0,2.0
0.07,0.0,0.013000000000000001,0.9680000000000003,82.0,2.0
0.07,0.0,0.013000000000000001,0.9690000000000003,82.0,2.0
0.07,0.0,0.013000000000000001,0.9700000000000004,82.0,2.0
0.07,0.0,0.013000000000000001,0.9710000000000003,82.0,2.0
0.07,0.0,0.013000000000000001,0.9720000000000003,82.0,2.0
0.07,0.0,0.013000000000000001,0.9730000000000003,82.0,2.0
0.07,0.0,0.013000000000000001,0.9740000000000003,82.0,2.0
0.07,0.0,0.013000000000000001,0.9750000000000003,82.0,2.0
0.07,0.0,0.013000000000000001,0.9760000000000003,82.0,2.0
0.07,0.0,0.013000000000000001,0.9770000000000003,82.0,2.0
0.07,0.0,0.013000000000000001,0.9780000000000003,82.0,2.0
0.07,0.0,0.013000000000000001,0.9790000000000003,82.0,2.0
0.07,0.0,0.013000000000000001,0.9800000000000003,82.0,2.0
0.07,0.0,0.013000000000000001,0.9810000000000003,82.0,2.0
0.07,0.0,0.013000000000000001,0.9820000000000003,82.0,2.0
0.07,0.0,0.013000000000000001,0.9830000000000002,82.0,2.0
0.07,0.0,0.013000000000000001,0.9840000000000003,82.0,2.0
0.07,0.0,0.013000000000000001,0.9850000000000003,82.0,2.0
0.07,0.0,0.013000000000000001,0.9860000000000003,82.0,2.0
0.07,0.0,0.013000000000000001,0.9870000000000003,82.0,2.0
0.07,0.0,0.013000000000000001,0.9880000000000004,82.0,2.0
0.07,0.0,0.013000000000000001,0.9890000000000003,82.0,2.0
0.07,0.0,0.013000000000000001,0.9900000000000003,80.0,2.0
0.07,0.0,0.013000000000000001,0.9910000000000003,80.0,2.0
0.07,0.0,0.013000000000000001,0.9920000000000003,80.0,2.0
0.07,0.0,0.013000000000000001,0.9930000000000003,80.0,2.0
0.07,0.0,0.013000000000000001,0.9940000000000003,80.0,2.0
0.07,0.0,0.013000000000000001,0.9950000000000003,80.0,2.0
0.07,0.0,0.013000000000000001,0.9960000000000003,80.0,2.0
0.07,0.0,0.013000000000000001,0.9970000000000003,80.0,2.0
0.07,0.0,0.013000000000000001,0.9980000000000004,80.0,2.0
0.07,0.0,0.013000000000000001,0.9990000000000003,80.0,2.0
0.07,0.0,0.014000000000000002,0.9330000000000003,82.0,2.0
0.07,0.0,0.014000000000000002,0.9340000000000003,82.0,2.0
0.07,0.0,0.014000000000000002,0.9350000000000003,82.0,2.0
0.07,0.0,0.014000000000000002,0.9360000000000004,82.0,2.0
0.07,0.0,0.014000000000000002,0.9370000000000003,82.0,2.0
0.07,0.0,0.014000000000000002,0.9380000000000003,82.0,2.0
0.07,0.0,0.014000000000000002,0.9390000000000002,82.0,2.0
0.07,0.0,0.014000000000000002,0.9400000000000003,82.0,2.0
0.07,0.0,0.014000000000000002,0.9410000000000003,82.0,2.0
0.07,0.0,0.014000000000000002,0.9420000000000003,82.0,2.0
0.07,0.0,0.014000000000000002,0.9430000000000002,82.0,2.0
0.07,0.0,0.014000000000000002,0.9440000000000003,82.0,2.0
0.07,0.0,0.014000000000000002,0.9450000000000002,82.0,2.0
0.07,0.0,0.014000000000000002,0.9460000000000003,82.0,2.0
0.07,0.0,0.014000000000000002,0.9470000000000003,82.0,2.0
0.07,0.0,0.014000000000000002,0.9480000000000002,82.0,2.0
0.07,0.0,0.014000000000000002,0.9490000000000003,82.0,2.0
0.07,0.0,0.014000000000000002,0.9500000000000003,82.0,2.0
0.07,0.0,0.014000000000000002,0.9510000000000003,82.0,2.0
0.07,0.0,0.014000000000000002,0.9520000000000003,82.0,2.0
0.07,0.0,0.014000000000000002,0.9530000000000003,82.0,2.0
0.07,0.0,0.014000000000000002,0.9540000000000003,82.0,2.0
0.07,0.0,0.014000000000000002,0.9550000000000003,82.0,2.0
0.07,0.0,0.014000000000000002,0.9560000000000003,82.0,2.0
0.07,0.0,0.014000000000000002,0.9570000000000003,82.0,2.0
0.07,0.0,0.014000000000000002,0.9580000000000004,82.0,2.0
0.07,0.0,0.014000000000000002,0.9590000000000004,80.0,2.0
0.07,0.0,0.014000000000000002,0.9600000000000003,80.0,2.0
0.07,0.0,0.014000000000000002,0.9610000000000003,80.0,2.0
0.07,0.0,0.014000000000000002,0.9620000000000003,80.0,2.0
0.07,0.0,0.014000000000000002,0.9630000000000003,80.0,2.0
0.07,0.0,0.014000000000000002,0.9640000000000003,80.0,2.0
0.07,0.0,0.014000000000000002,0.9650000000000003,80.0,2.0
0.07,0.0,0.014000000000000002,0.9660000000000002,80.0,2.0
0.07,0.0,0.014000000000000002,0.9670000000000003,80.0,2.0
0.07,0.0,0.014000000000000002,0.9680000000000003,80.0,2.0
0.07,0.0,0.014000000000000002,0.9690000000000003,78.0,2.0
0.07,0.0,0.014000000000000002,0.9700000000000004,78.0,2.0
0.07,0.0,0.014000000000000002,0.9710000000000003,78.0,2.0
0.07,0.0,0.014000000000000002,0.9720000000000003,78.0,2.0
0.07,0.0,0.014000000000000002,0.9730000000000003,78.0,2.0
0.07,0.0,0.014000000000000002,0.9740000000000003,78.0,2.0
0.07,0.0,0.014000000000000002,0.9750000000000003,78.0,2.0
0.07,0.0,0.014000000000000002,0.9760000000000003,78.0,2.0
0.07,0.0,0.014000000000000002,0.9770000000000003,78.0,2.0
0.07,0.0,0.014000000000000002,0.9780000000000003,78.0,2.0
0.07,0.0,0.014000000000000002,0.9790000000000003,76.0,2.0
0.07,0.0,0.014000000000000002,0.9800000000000003,76.0,2.0
0.07,0.0,0.014000000000000002,0.9810000000000003,76.0,2.0
0.07,0.0,0.014000000000000002,0.9820000000000003,76.0,2.0
0.07,0.0,0.014000000000000002,0.9830000000000002,76.0,2.0
0.07,0.0,0.014000000000000002,0.9840000000000003,76.0,2.0
0.07,0.0,0.014000000000000002,0.9850000000000003,76.0,2.0
0.07,0.0,0.014000000000000002,0.9860000000000003,76.0,2.0
0.07,0.0,0.014000000000000002,0.9870000000000003,76.0,2.0
0.07,0.0,0.014000000000000002,0.9880000000000004,76.0,2.0
0.07,0.0,0.014000000000000002,0.9890000000000003,74.0,2.0
0.07,0.0,0.014000000000000002,0.9900000000000003,74.0,2.0
0.07,0.0,0.014000000000000002,0.9910000000000003,74.0,2.0
0.07,0.0,0.014000000000000002,0.9920000000000003,74.0,2.0
0.07,0.0,0.014000000000000002,0.9930000000000003,74.0,2.0
0.07,0.0,0.014000000000000002,0.9940000000000003,74.0,2.0
0.07,0.0,0.014000000000000002,0.9950000000000003,74.0,2.0
0.07,0.0,0.014000000000000002,0.9960000000000003,74.0,2.0
0.07,0.0,0.014000000000000002,0.9970000000000003,74.0,2.0
0.07,0.0,0.014000000000000002,0.9980000000000004,74.0,2.0
0.07,0.0,0.014000000000000002,0.9990000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9020000000000002,82.0,2.0
0.07,0.0,0.015000000000000003,0.9030000000000002,82.0,2.0
0.07,0.0,0.015000000000000003,0.9040000000000002,82.0,2.0
0.07,0.0,0.015000000000000003,0.9050000000000002,82.0,2.0
0.07,0.0,0.015000000000000003,0.9060000000000002,82.0,2.0
0.07,0.0,0.015000000000000003,0.9070000000000003,82.0,2.0
0.07,0.0,0.015000000000000003,0.9080000000000003,82.0,2.0
0.07,0.0,0.015000000000000003,0.9090000000000003,82.0,2.0
0.07,0.0,0.015000000000000003,0.9100000000000003,82.0,2.0
0.07,0.0,0.015000000000000003,0.9110000000000003,82.0,2.0
0.07,0.0,0.015000000000000003,0.9120000000000003,82.0,2.0
0.07,0.0,0.015000000000000003,0.9130000000000003,82.0,2.0
0.07,0.0,0.015000000000000003,0.9140000000000003,82.0,2.0
0.07,0.0,0.015000000000000003,0.9150000000000003,82.0,2.0
0.07,0.0,0.015000000000000003,0.9160000000000003,82.0,2.0
0.07,0.0,0.015000000000000003,0.9170000000000003,82.0,2.0
0.07,0.0,0.015000000000000003,0.9180000000000003,82.0,2.0
0.07,0.0,0.015000000000000003,0.9190000000000003,82.0,2.0
0.07,0.0,0.015000000000000003,0.9200000000000003,82.0,2.0
0.07,0.0,0.015000000000000003,0.9210000000000003,82.0,2.0
0.07,0.0,0.015000000000000003,0.9220000000000003,82.0,2.0
0.07,0.0,0.015000000000000003,0.9230000000000003,82.0,2.0
0.07,0.0,0.015000000000000003,0.9240000000000002,82.0,2.0
0.07,0.0,0.015000000000000003,0.9250000000000002,82.0,2.0
0.07,0.0,0.015000000000000003,0.9260000000000003,82.0,2.0
0.07,0.0,0.015000000000000003,0.9270000000000003,82.0,2.0
0.07,0.0,0.015000000000000003,0.9280000000000003,82.0,2.0
0.07,0.0,0.015000000000000003,0.9290000000000003,80.0,2.0
0.07,0.0,0.015000000000000003,0.9300000000000002,80.0,2.0
0.07,0.0,0.015000000000000003,0.9310000000000004,80.0,2.0
0.07,0.0,0.015000000000000003,0.9320000000000003,80.0,2.0
0.07,0.0,0.015000000000000003,0.9330000000000003,80.0,2.0
0.07,0.0,0.015000000000000003,0.9340000000000003,80.0,2.0
0.07,0.0,0.015000000000000003,0.9350000000000003,80.0,2.0
0.07,0.0,0.015000000000000003,0.9360000000000004,80.0,2.0
0.07,0.0,0.015000000000000003,0.9370000000000003,80.0,2.0
0.07,0.0,0.015000000000000003,0.9380000000000003,80.0,2.0
0.07,0.0,0.015000000000000003,0.9390000000000002,78.0,2.0
0.07,0.0,0.015000000000000003,0.9400000000000003,78.0,2.0
0.07,0.0,0.015000000000000003,0.9410000000000003,78.0,2.0
0.07,0.0,0.015000000000000003,0.9420000000000003,78.0,2.0
0.07,0.0,0.015000000000000003,0.9430000000000002,78.0,2.0
0.07,0.0,0.015000000000000003,0.9440000000000003,78.0,2.0
0.07,0.0,0.015000000000000003,0.9450000000000002,78.0,2.0
0.07,0.0,0.015000000000000003,0.9460000000000003,78.0,2.0
0.07,0.0,0.015000000000000003,0.9470000000000003,78.0,2.0
0.07,0.0,0.015000000000000003,0.9480000000000002,78.0,2.0
0.07,0.0,0.015000000000000003,0.9490000000000003,78.0,2.0
0.07,0.0,0.015000000000000003,0.9500000000000003,76.0,2.0
0.07,0.0,0.015000000000000003,0.9510000000000003,76.0,2.0
0.07,0.0,0.015000000000000003,0.9520000000000003,76.0,2.0
0.07,0.0,0.015000000000000003,0.9530000000000003,76.0,2.0
0.07,0.0,0.015000000000000003,0.9540000000000003,76.0,2.0
0.07,0.0,0.015000000000000003,0.9550000000000003,76.0,2.0
0.07,0.0,0.015000000000000003,0.9560000000000003,76.0,2.0
0.07,0.0,0.015000000000000003,0.9570000000000003,76.0,2.0
0.07,0.0,0.015000000000000003,0.9580000000000004,76.0,2.0
0.07,0.0,0.015000000000000003,0.9590000000000004,76.0,2.0
0.07,0.0,0.015000000000000003,0.9600000000000003,74.0,2.0
0.07,0.0,0.015000000000000003,0.9610000000000003,74.0,2.0
0.07,0.0,0.015000000000000003,0.9620000000000003,74.0,2.0
0.07,0.0,0.015000000000000003,0.9630000000000003,74.0,2.0
0.07,0.0,0.015000000000000003,0.9640000000000003,74.0,2.0
0.07,0.0,0.015000000000000003,0.9650000000000003,74.0,2.0
0.07,0.0,0.015000000000000003,0.9660000000000002,74.0,2.0
0.07,0.0,0.015000000000000003,0.9670000000000003,74.0,2.0
0.07,0.0,0.015000000000000003,0.9680000000000003,74.0,2.0
0.07,0.0,0.015000000000000003,0.9690000000000003,74.0,2.0
0.07,0.0,0.015000000000000003,0.9700000000000004,72.0,2.0
0.07,0.0,0.015000000000000003,0.9710000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9720000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9730000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9740000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9750000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9760000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9770000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9780000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9790000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9800000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9810000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9820000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9830000000000002,72.0,2.0
0.07,0.0,0.015000000000000003,0.9840000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9850000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9860000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9870000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9880000000000004,72.0,2.0
0.07,0.0,0.015000000000000003,0.9890000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9900000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9910000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9920000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9930000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9940000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9950000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9960000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9970000000000003,72.0,2.0
0.07,0.0,0.015000000000000003,0.9980000000000004,72.0,2.0
0.07,0.0,0.015000000000000003,0.9990000000000003,72.0,2.0
0.07,0.0,0.016000000000000004,0.8710000000000002,82.0,2.0
0.07,0.0,0.016000000000000004,0.8720000000000002,82.0,2.0
0.07,0.0,0.016000000000000004,0.8730000000000002,82.0,2.0
0.07,0.0,0.016000000000000004,0.8740000000000002,82.0,2.0
0.07,0.0,0.016000000000000004,0.8750000000000002,82.0,2.0
0.07,0.0,0.016000000000000004,0.8760000000000002,82.0,2.0
0.07,0.0,0.016000000000000004,0.8770000000000002,82.0,2.0
0.07,0.0,0.016000000000000004,0.8780000000000002,82.0,2.0
0.07,0.0,0.016000000000000004,0.8790000000000002,82.0,2.0
0.07,0.0,0.016000000000000004,0.8800000000000002,82.0,2.0
0.07,0.0,0.016000000000000004,0.8810000000000002,82.0,2.0
0.07,0.0,0.016000000000000004,0.8820000000000002,82.0,2.0
0.07,0.0,0.016000000000000004,0.8830000000000002,82.0,2.0
0.07,0.0,0.016000000000000004,0.8840000000000002,82.0,2.0
0.07,0.0,0.016000000000000004,0.8850000000000002,82.0,2.0
0.07,0.0,0.016000000000000004,0.8860000000000002,82.0,2.0
