Time,Lambda = 0.0 & Delta = 0.1,Lambda = 0.01 & Delta = 0.1,Lambda = 0.02 & Delta = 0.1,Lambda = 0.03 & Delta = 0.1,Lambda = 0.04 & Delta = 0.1,Lambda = 0.05 & Delta = 0.1,Lambda = 0.06 & Delta = 0.1,Lambda = 0.07 & Delta = 0.1,Lambda = 0.08 & Delta = 0.1,Lambda = 0.09 & Delta = 0.1,Lambda = 0.1 & Delta = 0.1
0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.041666666666666664,100.0,100.00833229167633,100.01666250007737,100.02499062526154,100.0333166672875,100.04164062621429,100.0499625021013,100.05828229500818,100.06660000499502,100.07491563212213,100.08322917645022
0.08333333333333333,100.0,100.01666250007737,100.0333166672875,100.0499625021013,100.066600004995,100.08322917645022,100.0998500169538,100.11646252699786,100.13306670707989,100.14966255770258,100.16625007937397
0.125,100.0,100.02499062526154,100.0499625021013,100.07491563212213,100.09985001695378,100.12476565825283,100.1496625577026,100.17454071701313,100.1994001379212,100.22424082219017,100.24906277161006
0.16666666666666666,100.0,100.0333166672875,100.066600004995,100.09985001695378,100.13306670707986,100.16625007937398,100.1994001379212,100.23251688689089,100.26560033053649,100.29865047319525,100.33166731928817
0.20833333333333331,100.0,100.04164062621429,100.08322917645022,100.12476565825281,100.16625007937397,100.2076824477718,100.24906277161008,100.29039105925773,100.33166731928821,100.37289156047888,100.41406379181055
0.24999999999999997,100.0,100.04625600613346,100.09243145113656,100.13852636413537,100.18454077469877,100.2304747128368,100.27632820899886,100.3221012940722,100.36779399938005,100.41340635668004,100.45893839816245
0.29166666666666663,100.0,100.04675150238856,100.09338467492579,100.13989961503674,100.18629642094554,100.23257519167099,100.27873602702182,100.32477902759207,100.37070429475651,100.41651193066599,100.46220203824278
0.3333333333333333,100.0,100.0472467971349,100.09433712282618,100.14127118804102,100.18804920493203,100.23467138682732,100.28113794822015,100.32744910475908,100.37360507323767,100.41960607158462,100.46545231885351
0.375,100.0,100.04774189045243,100.09528879545434,100.14264108515196,100.1897991312237,100.23676330686135,100.28353398675117,100.33011154705521,100.37649636539234,100.42268882081989,100.46868929381465
0.4166666666666667,100.0,100.04823678242104,100.09623969342645,100.14400930837104,100.19154620437897,100.23885096031233,100.28592415673961,100.3327663759045,100.3793782016947,100.42576021961109,100.47191301673662
0.45833333333333337,100.0,100.0487314731206,100.09718981735818,100.14537585969741,100.1932904289494,100.24093435570322,100.28830847227766,100.33541361267328,100.38225061252471,100.4288203090535,100.47512354102086
0.5,100.0,100.04922596263096,100.09813916786479,100.146740741128,100.19503180947954,100.24301350154066,100.29068694742512,100.3380532786702,100.38511362816828,100.43186913009873,100.47832091986066
0.5416666666666666,100.0,100.04972025103194,100.09908774556102,100.14810395465742,100.19677035050711,100.24508840631503,100.29305959620933,100.3406853951465,100.38796727881757,100.43490672355526,100.48150520624186
0.5833333333333333,100.0,100.05021433840331,100.10003555106117,100.14946550227805,100.19850605656285,100.2471590785005,100.29542643262539,100.34330998329594,100.39081159457129,100.43793313008882,100.48467645294363
0.6249999999999999,100.0,100.0507082248248,100.10098258497909,100.15082538598,100.20023893217063,100.24922552655501,100.29778747063608,100.34592706425522,100.39364660543492,100.44094839022294,100.48783471253925
0.6666666666666665,100.0,100.05120191037616,100.10192884792814,100.15218360775108,100.2019689818474,100.25128775892036,100.30014272417208,100.3485366591039,100.39647234132096,100.44395254433935,100.49098003739682
0.7083333333333331,100.0,100.05169539513709,100.10287434052121,100.1535401695769,100.20369621010323,100.25334578402214,100.30249220713189,100.35113878886462,100.39928883204928,100.44694563267845,100.49411247967998
0.7499999999999998,100.0,100.05218867918721,100.10381906337078,100.15489507344073,100.20542062144135,100.25539961026988,100.304835933382,100.35373347450326,100.4020961073473,100.44992769533978,100.49723209134869
0.7916666666666664,100.0,100.05268176260618,100.10476301708883,100.15624832132364,100.2071422203581,100.25744924605699,100.30717391675692,100.35632073692906,100.40489419685031,100.45289877228251,100.50033892416002
0.833333333333333,100.0,100.05317464547362,100.10570620228687,100.15759991520443,100.20886101134296,100.25949469976081,100.30950617105928,100.35890059699476,100.40768313010165,100.4558589033258,100.50343302966874
0.8749999999999997,100.0,100.05366732786906,100.10664861957595,100.15894985705965,100.21057699887858,100.26153597974263,100.3118327100598,100.36147307549673,100.41046293655307,100.45880812814934,100.50651445922823
0.9166666666666663,100.0,100.05415980987206,100.10759026956669,100.1602981488636,100.21229018744077,100.26357309434779,100.3141535474975,100.3640381931751,100.41323364556496,100.46174648629375,100.50958326399106
0.9583333333333329,100.0,100.05465209156213,100.1085311528692,100.1616447925883,100.2140005814985,100.26560605190559,100.31646869707959,100.36659597071397,100.41599528640657,100.4646740171611,100.51263949490986
0.9999999999999996,100.0,100.05514417301877,100.10947127009318,100.1629897902036,100.21570818551395,100.2676348607294,100.31877817248176,100.36914642874146,100.41874788825635,100.46759076001526,100.51568320273792
1.0416666666666663,100.0,100.05563605432141,100.11041062184782,100.16433314367701,100.21741300394247,100.26965952911667,100.32108198734801,100.37168958782989,100.42149148020208,100.47049675398245,100.51871443803
1.083333333333333,100.0,100.05612773554947,100.1113492087419,100.16567485497387,100.2191150412326,100.27168006534892,100.3233801552909,100.37422546849591,100.42422609124128,100.4733920380516,100.52173325114303
1.1249999999999998,100.0,100.05661921678237,100.11228703138369,100.16701492605726,100.22081430182611,100.27369647769183,100.32567268989156,100.37675409120065,100.4269517502814,100.4762766510749,100.52473969223685
