Lambda,Alpha,Delta,PSI,Dose,Size,Number of Fractions,Gamma
0.07,0,0.015,0.92,4.1,0.1,40.99999999999999,0.0
0.07,0,0.015,0.92,8.2,0.2,40.99999999999999,0.0
0.07,0,0.015,0.92,12.3,0.3,41.00000000000001,0.0
0.07,0,0.015,0.92,16.4,0.4,40.99999999999999,0.0
0.07,0,0.015,0.92,20.5,0.5,41.0,0.0
0.07,0,0.015,0.92,24.6,0.6,41.00000000000001,0.0
0.07,0,0.015,0.92,28.7,0.7,41.0,0.0
0.07,0,0.015,0.92,32.8,0.8,40.99999999999999,0.0
0.07,0,0.015,0.92,36.9,0.9,41.0,0.0
0.07,0,0.015,0.92,41.0,1.0,41.0,0.0
0.07,0,0.015,0.92,45.1,1.1,41.0,0.0
0.07,0,0.015,0.92,49.2,1.2,41.00000000000001,0.0
0.07,0,0.015,0.92,53.3,1.3,40.99999999999999,0.0
0.07,0,0.015,0.92,57.4,1.4,41.0,0.0
0.07,0,0.015,0.92,61.5,1.5,41.0,0.0
0.07,0,0.015,0.92,65.6,1.6,40.99999999999999,0.0
0.07,0,0.015,0.92,69.7,1.7,41.0,0.0
0.07,0,0.015,0.92,73.8,1.8,41.0,0.0
0.07,0,0.015,0.92,77.9,1.9,41.00000000000001,0.0
0.07,0,0.015,0.92,82.0,2.0,41.0,0.0
0.07,0,0.015,0.92,86.1,2.1,40.99999999999999,0.0
0.07,0,0.015,0.92,90.2,2.2,41.0,0.0
0.07,0,0.015,0.92,94.3,2.3,41.0,0.0
0.07,0,0.015,0.92,98.4,2.4,41.00000000000001,0.0
0.07,0,0.015,0.92,102.5,2.5,41.0,0.0
0.07,0,0.015,0.92,106.6,2.6,40.99999999999999,0.0
0.07,0,0.015,0.92,110.7,2.7,41.0,0.0
0.07,0,0.015,0.92,114.8,2.8,41.0,0.0
0.07,0,0.015,0.92,118.9,2.9,41.0,0.0
0.07,0,0.015,0.94,3.9,0.1,39.0,0.0
0.07,0,0.015,0.94,7.8,0.2,39.0,0.0
0.07,0,0.015,0.94,11.7,0.3,39.0,0.0
0.07,0,0.015,0.94,15.6,0.4,39.0,0.0
0.07,0,0.015,0.94,19.5,0.5,39.0,0.0
0.07,0,0.015,0.94,23.4,0.6,39.0,0.0
0.07,0,0.015,0.94,27.3,0.7,39.0,0.0
0.07,0,0.015,0.94,31.2,0.8,39.0,0.0
0.07,0,0.015,0.94,35.1,0.9,39.0,0.0
0.07,0,0.015,0.94,39.0,1.0,39.0,0.0
0.07,0,0.015,0.94,42.9,1.1,38.99999999999999,0.0
0.07,0,0.015,0.94,46.8,1.2,39.0,0.0
0.07,0,0.015,0.94,50.7,1.3,39.0,0.0
0.07,0,0.015,0.94,54.6,1.4,39.0,0.0
0.07,0,0.015,0.94,58.5,1.5,39.0,0.0
0.07,0,0.015,0.94,62.4,1.6,39.0,0.0
0.07,0,0.015,0.94,66.3,1.7,39.0,0.0
0.07,0,0.015,0.94,70.2,1.8,39.0,0.0
0.07,0,0.015,0.94,74.1,1.9,39.0,0.0
0.07,0,0.015,0.94,78.0,2.0,39.0,0.0
0.07,0,0.015,0.94,81.9,2.1,39.0,0.0
0.07,0,0.015,0.94,85.8,2.2,38.99999999999999,0.0
0.07,0,0.015,0.94,89.7,2.3,39.00000000000001,0.0
0.07,0,0.015,0.94,93.6,2.4,39.0,0.0
0.07,0,0.015,0.94,97.5,2.5,39.0,0.0
0.07,0,0.015,0.94,101.4,2.6,39.0,0.0
0.07,0,0.015,0.94,105.3,2.7,38.99999999999999,0.0
0.07,0,0.015,0.94,109.2,2.8,39.0,0.0
0.07,0,0.015,0.94,113.1,2.9,39.0,0.0
0.07,0,0.015,0.94,117.0,3.0,39.0,0.0
0.07,0,0.015,0.96,3.7,0.1,37.0,0.0
0.07,0,0.015,0.96,7.4,0.2,37.0,0.0
0.07,0,0.015,0.96,11.1,0.3,37.0,0.0
0.07,0,0.015,0.96,14.8,0.4,37.0,0.0
0.07,0,0.015,0.96,18.5,0.5,37.0,0.0
0.07,0,0.015,0.96,22.2,0.6,37.0,0.0
0.07,0,0.015,0.96,25.9,0.7,37.0,0.0
0.07,0,0.015,0.96,29.6,0.8,37.0,0.0
0.07,0,0.015,0.96,33.3,0.9,36.99999999999999,0.0
0.07,0,0.015,0.96,37.0,1.0,37.0,0.0
0.07,0,0.015,0.96,40.7,1.1,37.0,0.0
0.07,0,0.015,0.96,44.4,1.2,37.0,0.0
0.07,0,0.015,0.96,48.1,1.3,37.0,0.0
0.07,0,0.015,0.96,51.8,1.4,37.0,0.0
0.07,0,0.015,0.96,55.5,1.5,37.0,0.0
0.07,0,0.015,0.96,59.2,1.6,37.0,0.0
0.07,0,0.015,0.96,62.9,1.7,37.0,0.0
0.07,0,0.015,0.96,66.6,1.8,36.99999999999999,0.0
0.07,0,0.015,0.96,70.3,1.9,37.0,0.0
0.07,0,0.015,0.96,74.0,2.0,37.0,0.0
0.07,0,0.015,0.96,77.7,2.1,37.0,0.0
0.07,0,0.015,0.96,81.4,2.2,37.0,0.0
